"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Iluminación / Tiras LED / Nexia","Tira de LED 230V IP 65 7W metro","27.54","TIRALED2307W   "
"Iluminación / Tiras LED / Nexia","Tira de Led 14.4W mt Blanco regulable","14.5","TIRALED14'4"
"Telecom / Televisión / Mecanismos","Toma de antena mecanismo básico Televés única","5.97","TELEVESUNICA 5276"
"Telecom / Televisión / Mecanismos","Toma de antena mecanismo básico Televés final","7.97","FINAL 5226"
"Telecom / Televisión / Mecanismos","Toma de antena mecanismo básico Televés intermedio","11.23","INTERMEDIA 5227"
"Mecanismos / Zumbadores y timbres","Timbre BISON 2000 BIT 110-230V","16.31","DING TIBI2000"
"Cuadros / Protecciones / Hager","Telerruptor Hager Potencia 1NA 16A AC 230V 110V DC","79.21","TELERAILHAG EPN510"
"Mecanismos / Simon / Simon 27","Tapa para mecanismos Simon Serie 27 Play para antena de televisión blanco","3.75","S27TAPATV 27097-34"
"Mecanismos / BJC / Iris","Toma de comunicación y datos BJC Iris/Coral RJ45 8(4) categoria 6","17.89","IRISRJ45 18586"
"Mecanismos / Schneider / New Unica","Tapa para mecanismos Schneider Electric New Unica para antena de televisión blanco polar","15.83","UNICATAPATV NUTAPATV NU944118"
"Partidas","Toma de datos completa cat6. Cada toma se instalará en la ubicación que se indique hasta donde se instale el Router","0.0","DATOS"
"Mecanismos / Schneider / Merten","Toma de comunicación y datos Schneider Electric Elegance/D-Life RJ11 categoria 3","14.75","MTNTF MTN463501"
"Mecanismos / Hager / Berker K1","Toma de corriente horizontal y vertical Hager Berker schuko","6.23","K1EN 714134"
"Mecanismos / Schneider / New Unica","Caratula RJ45 1 modulo Keystone polar","6.12","NUTAPARJ45ESTRETA NUCARATULARJ45ESTRETA NU946018"
"Mecanismos / BJC / Iris","Toma de corriente horizontal y vertical BJC Iris/ Delta Miró schuko con embornamiento de seguridad","6.07","IRISEN 18524"
"Mecanismos / BJC / Rehabitat","Toma de corriente horizontal y vertical BJC Sol 10A sin contacto de protección","3.47","REHABEN10 16522"
"Mecanismos / Simon / Simon 27","Toma de comunicación y datos Simon Serie 27 RJ11 categoria 3 blanco","16.42","S27TF 27480-35"
"Mecanismos / Simon / Simon 31","Toma de comunicación y datos Simon Serie 31 RJ11 categoria 3 blanco","22.96","S31TF 31480-30"
"Mecanismos / Schneider / New Unica","Toma de corriente doble horizontal y vertical Schneider Electric New Unica schuko blanco polar","19.2","UNICAENDOBLE NUENDOBLE NU306718A"
"Mecanismos / BJC / Iris","Toma de telefono RJ11 con tapa BJC Iris color blanca","12.39","IRISRJ11 18882"
"Mecanismos / BJC / Rehabitat","Toma de corriente horizontal y vertical BJC Sol schuko IP44 con embornamiento de seguridad","5.63","REHABEN16 16524"
"Mecanismos / Legrand / Plexo","Toma de corriente horizontal y vertical Legrand Plexo schuko con tapa basculante estanco (IP55) gris","14.79","PLEXOEN 069571"
"Cableado / Trenzado","Trenzado de cobre 4x16mm2","45.17","TREN4X16       "
"Cableado / Trenzado","Trenzado de cobre 4x25mm2","48.85","TREN4X25       "
"Cableado / Trenzado","Trenzado de cobre 4x6mm2","16.51","TREN4X6        "
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 10,7x16mm rigido gris","2.24","H16 TH16 6201000016"
"Mecanismos / Schneider / Mureva","Toma de corriente horizontal y vertical Schneider Electric Mureva Styl schuko estanco (IP55)","13.99","MUEN MUR36135"
"Mecanismos / Simon / Simon 27","Toma de corriente horizontal y vertical Simon Serie 27 schuko blanco","6.95","S27EN 27432-65"
"Mecanismos / Simon / Simon 75","Toma de corriente horizontal y vertical Simon Serie 75/82 schuko","7.18","S75EN 75432-39"
"Vehículo eléctrico","Toma de enchufe schucko Green UP para vehiculos Legrand","152.01","GREENUP 090472"
"Partidas","Tramitaciones varias en e-distribución para modificación- creación contrato","150.0","PS             "
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN40 resistencia 450N con guia rojo","1.73","K40 1956000040"
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN160 resistencia 450N con guia rojo","8.26","K160 1955000160"
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN125 resistencia 450N con guia rojo","5.8","K125 1955000125"
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN50 resistencia 450N con guia rojo","1.93","K50 1955000050"
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN75 resistencia 450N con guia rojo","3.3","K75 1955000075"
"Canalización / Forro verde","Tubo flexible una capa Gewiss verde Ø 20mm","0.95","FORROV20 DX15220R"
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN90 resistencia 450N con guia rojo","3.58","K90 1955000090"
"Mecanismos / Legrand / Clavijas aéreas","Clavija con toma de tierra caucho 2P Legrand 16A 230V negro","8.92","MACHOCAUCHO 050342 AEREOM AEREAM"
"Canalización / Acero","Tubo metálico para instalación de cables acero Ø18-20mm enchufable","8.72","ACERO20 6203000020"
"Canalización / Acero","Tubo metálico para instalación de cables acero Ø23-25mm enchufable","10.85","ACERO25 6203000025"
"Canalización / Acero","Tubo metálico para instalación de cables acero Ø29,6-32mm enchufable","16.73","ACERO32 6203000032"
"Canalización / Acero","Tubo metálico para instalación de cables acero Ø37,6-40mm enchufable","21.84","ACERO40 6203000040"
"Canalización / Acero","Tubo metálico para instalación de cables acero Ø47,6-50mm enchufable","28.11","ACERO50 6203000050"
"Canalización / Acero","Tubo metálico para instalación de cables acero Ø60,6-63mm enchufable","36.18","ACERO63 6203000063"
"Domotica / Wiser","Gateway Wiser Hub 2da Generación color blanco","198.48","WISERHUB  CCT501801"
"Mecanismos / Zumbadores y timbres","Señalizador acústico Rodman tono continuo 105dB AC 230VAC superficie Z1","44.0","ZUMBADORALTA RZ1CA1"
"Mecanismos / Zumbadores y timbres","Zumbador Bticino Livinglight 230V AC blanco","25.57","BTICINOZUM N4356/230"
"Mecanismos / Legrand / Clavijas aéreas","Base enchufe Legrand caucho 2 polos + tierra (2P+T) estanco (IP44) negro","13.22","HEMBRACAUCHO 050343 AEREOH AEREAH"
"Canalización / Forro verde","Tubo flexible una capa Gewiss verde Ø 25mm","1.36","FORROV25 DX15225R"
"Cableado / K-Flex negro","K-FLEX color negro 4X2'5mm2","6.26","K4X2'5         "
"Mecanismos / Legrand / Clavijas aéreas","Base enchufe Legrand plástico 2 polos + tierra (2P+T) negro ","10.79","HEMBRANEGRO 050329"
"Cuadros / Protecciones / Hager","Interruptor principal para cuadro de distribución Hager SF 1 polo 25A 230V 3 posiciones 1-0-2","48.62","CONRAILH SFT125"
"Cuadros / Accesorios","Placa obturador Hager plástico barnizado 430x54mm blanco","9.7","OBTURADORABLANCA JP002"
"Iluminación / Bombillas","Ledvance PERFORMANCE PIN CL 50 lámpara led G9 4,8W 2700K 600lm 320°","13.6","G9 4099854064784"
"Mecanismos / Legrand / Cetac","Base aérea cetac Legrand P17 Pro 16A 3 polos + tierra (3P+T) 400 V (50+60 Hz) rojo IP44 recto 6h","13.21","CETAC16A3P+TTAAF 555108"
